N,Title,Keywords,Abstract,Reference,Doi
5821,Is pelvic vein incompetence associated with symptoms of chronic pelvic pain in women? A pilot study,Adolescent; Adult; Case-Control Studies; Chronic Pain/etiology/physiopathology; Female; Health Status; Humans; Middle Aged; Pelvic Pain/etiology/physiopathology; Pelvis/blood supply; Pilot Projects; Prospective Studies; Quality of Life; Veins/physiopathology; Venous Insufficiency/complications/physiopathology; Young Adult; Characterisation study; Chronic pelvic pain; Pelvic congestion syndrome; Pelvic vein incompetence,"OBJECTIVE: Pelvic vein incompetence (PVI) affects 15-20% of all women, yet we know little about how it affects sufferers. The aim of this prospective pilot study was to explore symptoms experienced by women with PVI, and determine its impact on quality of life and NHS costs. STUDY DESIGN: Case-control study at a UK University teaching hospital conducted over an eight-month period. Cases were 40 premenopausal women aged 18-49 years with PVI and varicose veins (VV). There were two age-matched controls groups: (i) 40 healthy women with no PVI but with VV, and (ii) 40 healthy women with no PVI and no VV. Subjects were asked to complete a structured questionnaire on disease specific outcomes, health status and use of healthcare resources. RESULTS: Mean age (range) was 39.8 (24-47) years for cases, 39.1 (24-49) for VV controls and 38 (25-49) for healthy controls. Pelvic pain was reported by 38 of 40 (95%) PVI cases, compared with 25 of 40 (62%) VV controls, and 26 of 40 (65%) healthy controls (p=0.001). The median (range) EQ-5D utility score for PVI cases was 0.80 (0.29-1.0) compared with 0.80 (0.09-1.0) for VV controls and 1.0 (0.62-1.0) for healthy controls (p=0.002). Of the 40 PVI cases, 35 (88%) visited a consultant in the previous 12 months compared with 12 of 40 (30%) VV controls, and 14 of 40 (35%) healthy controls (p<0.001). CONCLUSIONS: Women with PVI report a greater frequency of pelvic pain with reduced health status and increased use of healthcare resources compared with matched controls",Eur J Obstet Gynecol Reprod Biol. 2016 Jan;196:21-5,10.1016/j.ejogrb.2015.10.023
15261,Patient-reported outcomes in the practice-based opportunities for weight reduction (POWER) trial,Adult; Behavior Therapy; Depression; Female; Health Status; Humans; Internet; Male; Middle Aged; Obesity/physiopathology/psychology/therapy; Pain Measurement; Quality of Life; Sleep Wake Disorders; Treatment Outcome; Weight Loss,"PURPOSE: To evaluate effects of two behavioral weight-loss interventions (in-person, remote) on health-related quality of life (HRQOL) compared to a control intervention. METHODS: Four hundred and fifty-one obese US adults with at least one cardiovascular risk factor completed five measures of HRQOL and depression: MOS SF-12 physical component summary (PCS) and mental component summary; EuroQoL-5 dimensions single index and visual analog scale; PHQ-8 depression symptoms; and PSQI sleep quality scores at baseline and 6 and 24 months after randomization. Change in each outcome was analyzed using outcome-specific mixed-effects models controlling for participant demographic characteristics. RESULTS: PCS-12 scores over 24 months improved more among participants in the in-person active intervention arm than among control arm participants (P < 0.05, ES = 0.21); there were no other statistically significant treatment arm differences in HRQOL change. Greater weight loss was associated with improvements in most outcomes (P < 0.05 to < 0.0001). CONCLUSIONS: Participants in the in-person active intervention improved more in physical function HRQOL than participants in the control arm did. Greater weight loss during the study was associated with greater improvement in all PRO except for sleep quality, suggesting that weight loss is a key factor in improving HRQOL",Qual Life Res. 2013 Nov;22(9):2389-98,10.1007/s11136-013-0363-3
1037,"""Top-Out"" Removal of Well-Fixed Dual-Taper Femoral Stems: Surgical Technique and Radiographic Risk Factors","Adult; Aged; Arthroplasty, Replacement, Hip/adverse effects; Corrosion; Female; Femur/surgery; Femur Neck/surgery; Hip Prosthesis/adverse effects; Humans; Incidence; Male; Middle Aged; Osteotomy/methods; Periprosthetic Fractures/surgery; Prosthesis Failure; Reoperation; Retrospective Studies; Risk Factors; Surveys and Questionnaires; adverse local tissue reaction; modular neck femoral stems; revision total hip arthroplasty; taper corrosion; top-out technique","BACKGROUND: Contemporary ""dual-taper"" modular femoral neck-stem designs have been associated with taper corrosion-related adverse local tissue reaction (ALTR) requiring revision surgery and stem removal. Extended trochanteric osteotomy is recognized as the workhorse procedure for revision hip surgery. The aim of our study is to describe our ""top-out"" stem removal surgical technique and identify preoperative radiographic risk factors associated with periprosthetic fractures when using this technique. METHODS: This is a single-center, single-surgeon, retrospective case series. Operative and clinic records were reviewed for patients with dual-taper modular femoral neck-stem junction who underwent revision surgery for taper tribocorrosion-related ALTR. RESULTS: Eighty-three patients (36 men and 47 women; mean age, 61.8 ± 10.3; body mass index, 30.2 ± 8.6) were revised using the top-out technique. Significant improvements in postoperative Harris hip score (P = .004), EuroQol 5-dimension questionnaire (EQ-5D; P < .001), and EQ-5D US-adjusted scores (P < .001) were observed at 19-months follow-up. Our study reports periprosthetic fracture incidence of 14% and reoperation rate of 7%. Periprosthetic fractures were positively correlated with radiographic parameters such as overhang distance (R = 0.376; P = .002) and overhang ratio (R = 0.312; P = .01) and negatively correlated with radiographic implant medial calcar prominence (R = -0.299; P = .01). CONCLUSION: Removal of well-fixed femoral components can be challenging, and the burden of revision surgery for taper tribocorrosion-related ALTR of these femoral stems is likely to rise. A top-out technique with systematic preoperative planning with radiographs provides a viable, alternative surgical option to remove well-fixed femoral component while preserving the femoral bony envelope",J Arthroplasty. 2016 Dec;31(12):2843-2849,10.1016/j.arth.2016.05.046
5847,"Associations between depressive symptoms, anxiety symptoms, their comorbidity and health-related quality of life: a large-scale cross-sectional study",Anxiety/epidemiology; Cohort Studies; Comorbidity; Cross-Sectional Studies; Depression/epidemiology; Female; Humans; Male; Quality of Life; Surveys and Questionnaires; Anxiety symptoms; Comorbidity; Depressive symptoms; EQ-5D-5L; HRQoL; Rural area,"BACKGROUND: There were few studies exploring the associations between depressive symptoms, anxiety symptoms and health-related quality of life (HRQoL) in the general population, especially in resource limited area. The aims of this study were to assess the associations between depressive symptoms, anxiety symptoms, their comorbidity and HRQoL in rural area. METHODS: A total of 23,496 eligible participants from Henan rural cohort were included. The Patient Health Questionnaire-2 (PHQ-2) and Generalized Anxiety Disorder-2 (GAD-2) were employed to assess depressive and anxiety symptoms, respectively. HRQoL was measured via European Quality of Life Five Dimension Five Level Scale (EQ-5D-5L). Tobit regression and generalized linear model were utilized to explore the associations between depressive symptoms, anxiety symptoms, their comorbidity and HRQoL RESULTS: A total of 1320 individuals were identified as depressive symptoms with a prevalence rate of 5.62%, while 1198 participants were classified as anxiety symptoms with a prevalence rate of 5.10%. After multiple adjustment, the regression coefficients (β) and 95% confidence interval (CI) of utility index for depressive and anxiety symptoms were - 0.166 (- 0.182, - 0.149) and - 0.132 (- 0.149, - 0.114), respectively. The β and 95% CI of VAS score for depressive and anxiety symptoms were - 7.65 (- 8.60, - 6.70) and - 5.79 (- 6.78, - 4.80), respectively. Additionally, the comorbidity was strongly associated with low utility index and VAS score. These findings were observed robustly in men and women. CONCLUSION: Depressive symptoms, anxiety symptoms and their comorbidity were associated with low HRQoL in rural population, which needed further efforts on preventive and treatment interventions. CLINICAL TRIAL REGISTRATION: The Henan Rural Cohort Study has been registered at Chinese Clinical Trial Register (Registration number: ChiCTR-OOC-15006699 ). Date of registration: 06 July, 2015",BMC Public Health. 2021 Oct 21;21(1):1911,10.1186/s12889-021-11969-1
2979,Income-related inequality in quality-adjusted life expectancy in Korea at the national and district levels,Adult; Economic Status; Female; Health Status Disparities; Health Surveys; Humans; Income/classification/statistics & numerical data; Life Expectancy; Male; Middle Aged; Quality of Life; Republic of Korea; Residence Characteristics/statistics & numerical data; Sex Distribution; Income; Life expectancy; Quality of life; Republic of Korea; Socioeconomic factors,"BACKGROUND: The aim of this study was to measure differences in quality-adjusted life expectancy (QALE) by income in Korea at the national and district levels METHODS: Mortality rates and EuroQol-5D (EQ-5D) scores were obtained from the National Health Information Database of the National Health Insurance Service and the Korea Community Health Survey, respectively. QALE and differences in QALE among income quintiles were calculated using combined 2008-2014 data for 245 districts in Korea. Correlation analyses were conducted to investigate the associations of neighborhood characteristics with QALE and income gaps therein RESULTS: QALE showed a graded pattern of inequality according to income, and increased over time for all levels of income and in both sexes, except for low-income quintiles among women, resulting in a widened inequality in QALE among women. In all 245 districts, pro-rich inequalities in QALE were found in both men and women. Districts with higher QALE and smaller income gaps in QALE were concentrated in metropolitan areas, while districts with lower QALE and larger income gaps in QALE were found in rural areas. QALE and differences in QALE by income showed relatively close correlations with socioeconomic characteristics, but relatively weak correlations with health behaviors, except for smoking and indicators related to medical resources. CONCLUSIONS: This study provides evidence of income-based inequalities in health measured by QALE in all subnational areas in Korea. Furthermore, QALE and differences in QALE by income were closely associated with neighborhood-level socioeconomic characteristics",Health Qual Life Outcomes. 2020 Feb 27;18(1):45,10.1186/s12955-020-01302-6
5727,Ciclosporin compared with prednisolone therapy for patients with pyoderma gangrenosum: cost-effectiveness analysis of the STOP GAP trial,Cost-Benefit Analysis; Cyclosporine/economics; Dermatologic Agents/economics/therapeutic use; Facilities and Services Utilization; Health Resources/economics/statistics & numerical data; Health Status; Humans; Prednisolone/economics/therapeutic use; Pyoderma Gangrenosum/drug therapy/economics; Quality-Adjusted Life Years; Single-Blind Method; State Medicine/economics; United Kingdom,"BACKGROUND: Pyoderma gangrenosum (PG) is a painful, ulcerating skin disease with poor evidence for management. Prednisolone and ciclosporin are the most commonly used treatments, although not previously compared within a randomized controlled trial (RCT). OBJECTIVES: To compare the cost-effectiveness of ciclosporin and prednisolone-initiated treatment for patients with PG. METHODS: Quality of life (QoL, EuroQoL five dimensions three level questionnaire, EQ-5D-3L) and resource data were collected as part of the STOP GAP trial: a multicentre, parallel-group, observer-blind RCT. Within-trial analysis used bivariate regression of costs and quality-adjusted life years (QALYs), with multiple imputation of missing data, informing a probabilistic assessment of incremental treatment cost-effectiveness from a health service perspective. RESULTS: In the base case analysis, when compared with prednisolone, ciclosporin was cost-effective due to a reduction in costs [net cost: -£1160; 95% confidence interval (CI) -2991 to 672] and improvement in QoL (net QALYs: 0·055; 95% CI 0·018-0·093). However, this finding appears driven by a minority of patients with large lesions (≥ 20 cm(2) ) (net cost: -£5310; 95% CI -9729 to -891; net QALYs: 0·077; 95% CI 0·004-0·151). The incremental cost-effectiveness of ciclosporin for the majority of patients with smaller lesions was £23 374/QALY, although the estimate is imprecise: the probability of being cost-effective at a willingness-to-pay of £20 000/QALY was 43%. CONCLUSIONS: Consistent with the clinical findings of the STOP GAP trial, patients with small lesions should receive treatment guided by the side-effect profiles of the drugs and patient preference - neither strategy is clearly a preferred use of National Health Service resources. However, ciclosporin-initiated treatment may be more cost-effective for patients with large lesions",Br J Dermatol. 2017 Dec;177(6):1527-1536,10.1111/bjd.15561
13919,Interim data from the Medical Research Council QUARTZ Trial: does whole brain radiotherapy affect the survival and quality of life of patients with brain metastases from non-small cell lung cancer?,"Aged; Brain Neoplasms/radiotherapy/secondary/surgery; Carcinoma, Non-Small-Cell Lung/pathology/radiotherapy/surgery; Cranial Irradiation/methods; Humans; Lung Neoplasms/pathology/radiotherapy/surgery; Middle Aged; Prognosis; Quality of Life; Survival Analysis; Treatment Outcome","AIMS: Over 30% of patients with non-small cell lung cancer (NSCLC) develop brain metastases. If inoperable, optimal supportive care (OSC), including steroids, and whole brain radiotherapy (WBRT) are generally considered to be standard care, although there is no randomised evidence demonstrating that the addition of WBRT to OSC improves survival or quality of life. MATERIALS AND METHODS: QUARTZ is a randomised, non-inferiority, phase III trial comparing OSC + WBRT versus OSC in patients with inoperable brain metastases from NSCLC. The primary outcome measure is quality-adjusted life years (QALYs). QUARTZ was threatened with both loss of funding and early closure due to poor accrual. A lack of preliminary randomised data supporting the trial's hypotheses was thought to underlie the poor accrual, so, with no knowledge of the data, the independent trial steering committee agreed to the unusual step of releasing interim data. RESULTS: Between March 2007 and April 2010, 151 (of the planned 534) patients were randomised (75 OSC + WBRT, 76 OSC). Participants' baseline demographics included median age 67 years (interquartile range 62-73), 60% male, 50% with a Karnofsky performance status <70; steroid usage was similar in the two groups; 64/75 (85%) received WBRT (20 Gy in five fractions). Median survival was: OSC + WBRT 49 days (95% confidence interval 39-61), OSC 51 days (95% confidence interval 27-57) - hazard ratio 1.11 (95% confidence interval 0.80-1.53) in favour of WBRT. Quality of life assessed using EQ-5D showed no evidence of a difference. The estimated mean QALYs was: OSC + WBRT 31 days and OSC 30 days, difference -1 day (95% confidence interval -12.0 to +13.2 days). CONCLUSION: These interim data indicate no early evidence of detriment to quality of life, overall survival or QALYs for patients allocated to OSC alone. They provide key information for discussing the trial with patients and strengthen the argument for continuing QUARTZ to definitively answer this important clinical question",Clin Oncol (R Coll Radiol). 2013 Mar;25(3):e23-30,10.1016/j.clon.2012.11.002
11469,Health-related quality of life: a population based study from Slovenia,"Activities of Daily Living; Adolescent; Adult; Age Factors; Aged; Aged, 80 and over; Chronic Disease; Cross-Sectional Studies; Female; Health Services/statistics & numerical data; Health Status; Health Surveys/statistics & numerical data; Humans; Male; Middle Aged; Quality of Life; Residence Characteristics; Self Care; Slovenia/epidemiology; Socioeconomic Factors; Young Adult","OBJECTIVES: Health status is represented by people's subjective assessment of their sense of well-being and ability to perform social roles and has been well accepted as a health indicator of different populations. The aim of this study was to determine health-related quality of life in Slovenian population. METHODS: We performed a cross-sectional postal survey in a random stratified sample of 1,000 adult Slovenian inhabitants. The questionnaire consisted of the respondents' demographic data (sex, age, education level, employment status, living environment), self-reported chronic conditions, self-reported use of health services and EQ-5D instrument for measuring quality of life. RESULTS: The response rate was 41% (53.1% men, mean age 51.5 years). Respondents reported most problems in the pain dimension of EQ-5D (59.3%), following by mobility (30.4%), anxiety/depression (30.3%), daily activities (29.8%) and self-care (9.0%). At least one moderate problem was reported by 272 (66.3%) respondents. Independent factors, associated with problems in any EQ-5D dimension were primary and vocational education, older age, high blood pressure, rheumatic diseases, back problems, anxiety/depression, a visit to the emergency department in the past year, and a house visit from a family doctor in the past year. CONCLUSIONS: The present study showed that the health-related quality of life of the Slovenian inhabitants is lower than the one found in some other European countries. This finding is surprising and also worrying. Because we cannot find any perceptible reason for this observation, larger and prospective studies are needed to confirm those results and to determine the reasons for that",Cent Eur J Public Health. 2011 Mar;19(1):7-12,10.21101/cejph.a3636
12432,"Multimodal exercise improves quality of life of women being treated for breast cancer, but at what cost? Randomized trial with economic evaluation","Adult; Aged; Breast Neoplasms/economics/psychology/therapy; Chemotherapy, Adjuvant; Cost-Benefit Analysis; Exercise Therapy/adverse effects/economics; Female; Health Care Costs; Humans; Linear Models; Logistic Models; Middle Aged; Quality of Life; Quality-Adjusted Life Years; Queensland; Radiotherapy, Adjuvant; Recovery of Function; Surveys and Questionnaires; Time Factors; Treatment Outcome","To evaluate the efficacy and economic efficiency of a multimedia, multimodal physical activity program for women undergoing adjuvant therapy following surgery for breast cancer. We conducted a randomized trial with concurrent incremental cost-effectiveness analysis and blinded baseline, 3, 6 and 12-month follow-up assessments amongst women undergoing adjuvant therapy following surgery for breast cancer (n = 89). The intervention was a multimedia, multimodal exercise program comprising strength, balance and endurance training elements. The control was sham flexibility and relaxation program delivered using similar materials The primary outcome was health-related quality of life (EQ-5D & VAS, EORTC C30, BR23). Economic outcomes included direct health care costs and productivity gains and losses. Participants in the intervention group demonstrated greater improvement in health-related quality of life between baseline and the 3-month assessment [mean (sd) EQ-5D VAS (0-100) baseline: 72.6 (15.6), 3 month: 80.6 (11.6)] when compared to control group participants [baseline: 77.5 (13.5), 3 month: 74.1 (20.6), P = 0.006] and also improved more in terms of physical function [mean (sd) EORTC C30 physical function scale intervention (0-100) baseline: 84.9 (14.8), 3 month: 86.9 (10.7), control baseline: 91.3 (9.6), 3 month: 86.7 (14.9), P = 0.02]. These improvements were not sustained beyond this point. Upper limb volumes were also lower amongst intervention group participants. However, there was low probability that the intervention would be both less costly and more effective than the control condition (range probability = 0.05-50.02% depending on approach). Provision of multimodal exercise programs will improve the short-term health of women undergoing adjuvant therapy for breast cancer but are of questionable economic efficiency",Breast Cancer Res Treat. 2010 Nov;124(1):163-75,10.1007/s10549-010-1126-2
15262,Are English and Chinese Versions of the Audit of Diabetes-Dependent Quality of Life Equivalent? An Exploratory Study Based on the Universalist Approach,diabetes; equivalence; quality of life; translation,"OBJECTIVE: To translate and culturally adapt the UK English Audit of Diabetes-Dependent Quality of Life (ADDQOL) into Chinese for Singapore. METHODS: Translation was integrated into investigation of conceptual, item, semantic, and operation equivalence. Conceptual equivalence, item equivalence, and operation equivalence were assessed by literature review, expert judgment, and cognitive debriefing. Semantic equivalence was studied by using an optimized procedure including forward and backward translation, clinician review, and cognitive debriefings. Cognitive debriefings were done with five Chinese-speaking diabetic patients at polyclinics. Reliability, responsiveness, and construct validity tests were used to evaluate measurement equivalence. English- and Chinese-speaking diabetic patients by convenient sampling at a Diabetes Society of Singapore's public event were recruited for the measurement equivalence study Mann-Whitney U tests, chi-square tests, and descriptive analyses were used for group comparisons and Spearman's correlation coefficients for construct validity tests. RESULTS: Forty-two English-speaking and 26 Chinese-speaking diabetic patients (45.5% females) with a mean age of 54.2 ± 10.07 years were recruited Chinese-speaking respondents were more likely than the English-speaking group to be unemployed, less educated, and with poorer family functioning (P < 0.05) Conceptual equivalence, item equivalence, operation equivalence, and semantic equivalence were all demonstrated. Cronbach's alpha for internal consistency and intraclass correlation coefficient for test-retest reliability were 0.94 and 0.65, respectively. Distributions of responses were found to be similar except for some difference that can be justified by different demographic background Convergent validity was suggested by weak to moderate correlations between ""Present QOL"" on the ADDQOL and EuroQol five-dimensional questionnaire (r = 0.268; P = 0.185) and six-dimensional health state short form (derived from short form 36 health survey) scores (r = 0.351; P = 0.078); divergent validity was shown by a weak correlation between ADDQOL average weighted impact (AWI) and ADDQOL ""Present QOL"" scores (r = 0.027, P = 0.896), a moderate correlation between ADDQOL AWI and six-dimensional health state short form (derived from short form 36 health survey) mental scores (r = 0.247; P = 0.224), and a positive correlation between ADDQOL AWI and family functioning scores (r = 0.288; P = 0.182). CONCLUSIONS: The ADDQOL has been translated and culturally adapted successfully into a Chinese version for Singapore. Our study provides justification for further research with large sample sizes among the Chinese-speaking population in Singapore",Value Health Reg Issues. 2012 May;1(1):75-81,10.1016/j.vhri.2012.03.005
6202,Health-Related Quality of Life in Children and Adolescents with Severe Obesity after Intensive Lifestyle Treatment and at 1-Year Follow-Up,"Adolescent; Body Mass Index; Child; Female; Follow-Up Studies; Health Status; Humans; Life Style; Male; Netherlands/epidemiology; Obesity, Morbid/epidemiology/psychology/rehabilitation/therapy; Pediatric Obesity/epidemiology/psychology/rehabilitation/therapy; Psychometrics; Quality of Life; Risk Reduction Behavior; Self Concept; Surveys and Questionnaires; Weight Loss; Weight Reduction Programs/methods/statistics & numerical data; Young Adult; Health-related quality of life; Lifestyle treatment; Severe childhood obesity","OBJECTIVE: To examine changes in generic and weight-related, health-related quality of life (HRQoL) in children and adolescents with severe obesity participating in intensive lifestyle treatment, and to examine whether changes in SDS-BMI were associated with changes in HRQoL. METHODS: In this prospective observational study, a referred sample of 120 children and adolescents (8-19 years) with severe obesity (SDS-BMI ≥ 3.0, or ≥ 2.3 in combination with obesity-related comorbidity) received an intensive 1-year lifestyle treatment with an inpatient period in a specialized childhood obesity center. A weight-related (IWQOL-Kids) and three generic (KIDSCREEN-52, PedsQL 4.0, and EuroQol) HRQoL questionnaires were administered at baseline (T0), after treatment (T1), and 1 year later (T2). Generalized Linear Mixed Models and partial correlations were used to analyze changes in HRQoL and associations with changes in SDS-BMI. RESULTS: Statistically significant improvements in generic and weight-related HRQoL overall and domain scores were observed at T1and at T2 in comparison with T0, despite partial weight regain from T1 to T2. Larger weight loss at T2 was correlated with larger improvements in physical HRQoL domains CONCLUSION: Children and adolescents with severe obesity experienced long-term improvements in generic and weight-related HRQoL after participating in intensive lifestyle treatment, despite partial weight regain",Obes Facts. 2018;11(2):116-128,10.1159/000487328
12499,High body mass index is associated with worse quality of life in breast cancer patients receiving radiotherapy,"Activities of Daily Living; Adult; Affect; Aged; Antineoplastic Combined Chemotherapy Protocols/adverse effects/therapeutic use; Body Mass Index; Breast Neoplasms/drug therapy/epidemiology/psychology/radiotherapy/surgery; Chemotherapy, Adjuvant/adverse effects/psychology; Combined Modality Therapy; Comorbidity; Dyspnea/epidemiology; Fatigue/epidemiology; Female; Follow-Up Studies; Gastrointestinal Diseases/epidemiology; Humans; Memory Disorders/epidemiology; Middle Aged; Obesity/epidemiology/psychology; Pain/epidemiology; Postoperative Complications/epidemiology/psychology; Prospective Studies; Quality of Life; Radiotherapy, Adjuvant/adverse effects/psychology; Severity of Illness Index; Sleep Initiation and Maintenance Disorders/epidemiology; Surveys and Questionnaires; Thinness/epidemiology/psychology","The purpose of this study was to examine the impact of body mass index (BMI) on breast cancer patients' self-reported health-related quality of life among patients treated with radiation therapy (RT). Women with breast cancer undergoing RT were prospectively enrolled in an Institutional Review Board-approved clinical trial between 2009 and 2012. Quality of life (QOL) assessments were collected pre-RT, during RT, and within 3 months post-RT using Euroqol (EQ-5D), MD Anderson Symptom Inventory, and functional assessment of cancer therapy-general (FACT-G) 183 breast cancer patients were enrolled, of whom 140 completed assessments at one or more time-point. After adjusting for age, chemotherapy, prior RT, type of breast surgery, and comorbidities, higher BMI remained significantly associated with worse QOL pre-RT, during RT, and post-RT in breast cancer patients. Higher BMI was strongly associated with worse overall FACT-G score on treatment and greater decline in physical well-being on treatment, which persisted after treatment. While effects on QOL of patients in the underweight and normal weight group peaked during treatment, rapidly improving by follow-up, obese patients had worse functional well-being that was more persistent at follow-up. Higher BMI was associated with worse QOL for breast cancer patients before, during, and after RT, and also was associated with reduced return to baseline QOL 3 months post-RT",Breast Cancer Res Treat. 2013 Aug;141(1):125-33,10.1007/s10549-013-2663-2
12936,Modelling the EuroQol data: a comparison of discrete choice conjoint and conditional preference modelling,"Aged; Choice Behavior/classification; Cost of Illness; Europe; Female; Health Status; Hospitals, Veterans; Humans; Male; Middle Aged; Models, Econometric; Models, Psychological; Patient Satisfaction/economics/statistics & numerical data; Predictive Value of Tests; Probability; Psychometrics/methods/standards; Quality of Life; Surveys and Questionnaires/standards; United States","This article compares two measurement strategies for measuring EuroQol health state preferences: (a) conditional preference modelling, implemented using rating scale and standard gamble scaling methods and (b) discrete choice conjoint modelling. The nature of the model form of the EuroQol health status preference function and the predictive ability of each measurement strategy formed the basis of the comparison. Data were collected via personal interviews with 140 US patients, 139 of whom provided usable responses. Both strategies supported a multiplicative model form as representative of the EuroQol health status preference function and were acceptable in terms of predictive ability. The agreement of the two measurement strategies on the nature of the model form provides evidence of the convergent validity of the multiplicative nature of the EuroQol health status preference function in this patient population. Since both strategies were found to be acceptable in terms of predictive ability, further research comparing preference scores and measuring respondent evaluations of the methodologies is necessary to illustrate the relative strengths and weaknesses of different health state preference measurement methodologies",Health Econ. 1999 Mar;8(2):103-16,10.1002/(sici)1099-1050(199903)8:2<103::aid-hec393>3.0.co;2-e
15507,Cost-effectiveness of percutaneous coronary intervention with drug-eluting stents versus bypass surgery for patients with 3-vessel or left main coronary artery disease: final results from the Synergy Between Percutaneous Coronary Intervention With TAXUS and Cardiac Surgery (SYNTAX) trial,"Aged; Ambulatory Care/economics; Coronary Artery Bypass/economics/methods/mortality; Coronary Artery Disease/economics/mortality/surgery; Coronary Vessels/surgery; Cost-Benefit Analysis; Drug-Eluting Stents/economics/statistics & numerical data; Female; Hospital Costs; Humans; Male; Middle Aged; Percutaneous Coronary Intervention/economics/methods/mortality; Physicians/economics; Quality of Life; Quality-Adjusted Life Years; Treatment Outcome; coronary artery bypass; cost-benefit analysis; drug-eluting stents; percutaneous coronary intervention; randomized, controlled trials as topic","BACKGROUND: The Synergy Between Percutaneous Coronary Intervention With TAXUS and Cardiac Surgery (SYNTAX) trial demonstrated that in patients with 3-vessel or left main coronary artery disease, coronary artery bypass graft surgery (CABG) was associated with a lower rate of cardiovascular death, myocardial infarction, stroke, or repeat revascularization compared with percutaneous coronary revascularization with drug-eluting stents (DES-PCI)). The long-term cost-effectiveness of these strategies is unknown. METHODS AND RESULTS: Between 2005 and 2007, 1800 patients with left main or 3-vessel coronary artery disease were randomized to CABG (n=897) or DES-PCI (n=903). Costs were assessed from a US perspective, and health state utilities were evaluated with the EuroQOL questionnaire. A patient-level microsimulation model based on the 5-year in-trial data was used to extrapolate costs, life expectancy, and quality-adjusted life expectancy over a lifetime horizon. Although initial procedural costs were $3415 per patient lower with CABG, total hospitalization costs were $10 036 per patient higher. Over the next 5 years, follow-up costs were higher with DES-PCI as a result of more frequent hospitalizations, revascularization procedures, and higher medication costs. Over a lifetime horizon, CABG remained more costly than DES-PCI, but the incremental cost-effectiveness ratio was favorable ($16 537 per quality-adjusted life-year gained) and remained <$20 000 per quality-adjusted life-year in most bootstrap replicates. Results were consistent across a wide range of assumptions about the long-term effect of CABG versus DES-PCI on events and costs. In patients with left main disease or a SYNTAX score ≤22, however, DES-PCI was economically dominant compared with CABG, although these findings were less certain. CONCLUSIONS: For most patients with 3-vessel or left main coronary artery disease, CABG is a clinically and economically attractive revascularization strategy compared with DES-PCI. However, among patients with less complex disease, DES-PCI may be preferred on both clinical and economic grounds. CLINICAL TRIAL REGISTRATION URL: www.clinicaltrials.gov. Unique identifier: NCT00114972",Circulation. 2014 Sep 30;130(14):1146-57,10.1161/CIRCULATIONAHA.114.009985
12916,Health-related quality of life by disease and socio-economic group in the general population in Sweden,"Activities of Daily Living; Adolescent; Adult; Aged; Aged, 80 and over; Feasibility Studies; Female; Health Status; Humans; Male; Middle Aged; Prevalence; Quality of Life; Regression Analysis; Social Class; Surveys and Questionnaires; Sweden","Measuring health-related quality of life (HRQoL) on population level, is becoming increasingly important for priority setting in health policy. In the health economics field, it is common to measure HRQoL in terms of health-state utilities or QoL weights. This study investigates the feasibility of obtaining mean QoL weights by mapping survey data to the generic HRQoL measure EQ-5D and to describe the HRQoL in terms of mean QoL weights in certain disease and socio-economic groups. Data from the 1996-1997 Survey of Living Conditions, interviews with a representative sample (16-84 years) of the Swedish population (n=11 698) were used. The mean QoL weight decreased from 0.91 among the youngest to 0.61 among the oldest, and was lower for women than for men. The QoL weight was 0.88 in the highest socio-economic group and 0.78 in the lowest socio-economic group. The QoL weight was lowest (0.38) among persons with depression and highest among persons with hypertension (0.71). The QoL weight decreased from 0.95 for persons with very good global self-rated health to 0.20 for persons with very poor global self-rated health. The results support the feasibility and validity of the mapping approach. HRQoL varies greatly between socio-economic groups and different disease groups",Health Policy. 2001 Jan;55(1):51-69,10.1016/s0168-8510(00)00111-1
